"FAZENDA";"PROJETO";"ESPACAMENTO";"TALHAO";"MATGEN";"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca"
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;12;11,77746579;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;14;10,66338119;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;16;9,549296586;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;18;8,75352187;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;20;7,321127382;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;22;5,729577951;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;24;3,342253805;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";15;16,2338042;26,6;26;0,954929659;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;0,1;18,78028328;8
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;0,5;18,14366351;8
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;1;17,02957891;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;1,5;16,55211408;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;2;16,2338042;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;4;15,27887454;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;6;14,32394488;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;8;13,68732511;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;10;12,89155039;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;12;11,61831085;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;14;10,66338119;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;16;9,549296586;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;18;8,75352187;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;20;6,843662553;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";16;16,55211408;27,3;22;5,570423008;2
